date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:15:22	2110/2110	---M--	200	added ('OK')	image/png	etag:%2283e-65e1a13a-9ee65c0198a034cf;;;%22	https://html.ditsolution.net/echofy/assets/images/Acceuil1/service-icon3.png	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/images/Acceuil1/service-icon3.png	(from https://html.ditsolution.net/echofy/index.html)
22:15:22	15763/15763	---M--	200	added ('OK')	image/jpeg	etag:%223d93-65e1a13a-4336b1ec0950f333;;;%22	https://html.ditsolution.net/echofy/assets/images/Acceuil1/service-3.jpg	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/images/Acceuil1/service-3.jpg	(from https://html.ditsolution.net/echofy/index.html)
22:15:22	146722/146722	---M--	200	added ('OK')	image/png	etag:%2223d22-65e1a13b-2eb6d4ba80b8bbf3;;;%22	https://html.ditsolution.net/echofy/assets/images/Acceuil1/skill-thumb.png	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/images/Acceuil1/skill-thumb.png	(from https://html.ditsolution.net/echofy/index.html)
22:15:23	5997/5997	---M--	200	added ('OK')	image/png	etag:%22176d-65e1a13b-cb66f98dde155931;;;%22	https://html.ditsolution.net/echofy/assets/images/Acceuil1/skill-shape-1.png	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/images/Acceuil1/skill-shape-1.png	(from https://html.ditsolution.net/echofy/index.html)
22:15:23	219/219	---M--	200	added ('OK')	image/png	etag:%22db-65e1a13b-62eea569866bd401;;;%22	https://html.ditsolution.net/echofy/assets/images/Acceuil1/skill-shape-2.png	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/images/Acceuil1/skill-shape-2.png	(from https://html.ditsolution.net/echofy/index.html)
22:15:24	2848/2848	---M--	200	added ('OK')	image/png	etag:%22b20-65e1a138-5ea8202d2857a1aa;;;%22	https://html.ditsolution.net/echofy/assets/images/Acceuil1/counter-icon-1.png	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/images/Acceuil1/counter-icon-1.png	(from https://html.ditsolution.net/echofy/index.html)
22:15:24	2683/2683	---M--	200	added ('OK')	image/png	etag:%22a7b-65e1a138-69c6689087aad09a;;;%22	https://html.ditsolution.net/echofy/assets/images/Acceuil1/counter-icon-2.png	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/images/Acceuil1/counter-icon-2.png	(from https://html.ditsolution.net/echofy/index.html)
22:15:24	2941/2941	---M--	200	added ('OK')	image/png	etag:%22b7d-65e1a138-eb2a78d518bb4c3c;;;%22	https://html.ditsolution.net/echofy/assets/images/Acceuil1/counter-icon-3.png	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/images/Acceuil1/counter-icon-3.png	(from https://html.ditsolution.net/echofy/index.html)
22:15:25	2709/2709	---M--	200	added ('OK')	image/png	etag:%22a95-65e1a138-7846c17dc9281134;;;%22	https://html.ditsolution.net/echofy/assets/images/Acceuil1/counter-icon-4.png	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/images/Acceuil1/counter-icon-4.png	(from https://html.ditsolution.net/echofy/index.html)
22:15:25	30701/30701	---M--	200	added ('OK')	image/jpeg	etag:%2277ed-65e1a139-ffd2996c895a3bd3;;;%22	https://html.ditsolution.net/echofy/assets/images/Acceuil1/process-thumb.jpg	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/images/Acceuil1/process-thumb.jpg	(from https://html.ditsolution.net/echofy/index.html)
22:15:25	24435/24435	---M--	200	added ('OK')	image/jpeg	etag:%225f73-65e1a139-94f1aa7689763f81;;;%22	https://html.ditsolution.net/echofy/assets/images/Acceuil1/project-1.jpg	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/images/Acceuil1/project-1.jpg	(from https://html.ditsolution.net/echofy/index.html)
22:15:26	758/758	---M--	200	added ('OK')	image/png	etag:%222f6-65e1a13a-d72871b2f9f332b6;;;%22	https://html.ditsolution.net/echofy/assets/images/Acceuil1/project-shape.png	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/images/Acceuil1/project-shape.png	(from https://html.ditsolution.net/echofy/index.html)
